study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
FDA1995S67	all	9.0	LOS50PO	cmax	losartan	plasma	HPLC/UV	NA	NA	1171.8	667.1	NA	NA	NA	NA	NA	ng/ml	NA
FDA1995S67	all	9.0	LOS50PO	tmax	losartan	plasma	HPLC/UV	NA	NA	0.98	0.47	NA	NA	NA	NA	NA	hr	NA
FDA1995S67	all	9.0	LOS50PO	auc_inf	losartan	plasma	HPLC/UV	NA	NA	2162.83	1095.38	NA	NA	NA	NA	NA	ng/ml*hr	NA
FDA1995S67	all	9.0	LOS50PO	kel	losartan	plasma	HPLC/UV	NA	NA	0.2885	0.0778	NA	NA	NA	NA	NA	1/hr	NA
FDA1995S67	all	9.0	LOS50PO	thalf	losartan	plasma	HPLC/UV	NA	NA	2.4	0.67	NA	NA	NA	NA	NA	hr	NA
FDA1995S67	all	9.0	LOS50PO	clearance_renal	losartan	plasma	HPLC/UV	NA	NA	55.41	20.39	NA	NA	NA	NA	NA	ml/min	NA
FDA1995S67	all	9.0	LOS50PO	recovery	losartan	urine	HPLC/UV	48.0	hr	16.21	11.0	NA	NA	NA	NA	NA	percent	NA
FDA1995S67	all	9.0	LOS50PO	bioavailability	losartan	plasma	HPLC/UV	NA	NA	64.8	21.8	NA	NA	NA	NA	NA	percent	NA
FDA1995S67	all	9.0	LOS50PO	cmax	exp3174	plasma	HPLC/UV	NA	NA	296.2	108.9	NA	NA	NA	NA	NA	ng/ml	NA
FDA1995S67	all	9.0	LOS50PO	tmax	exp3174	plasma	HPLC/UV	NA	NA	4.56	0.88	NA	NA	NA	NA	NA	hr	NA
FDA1995S67	all	9.0	LOS50PO	auc_inf	exp3174	plasma	HPLC/UV	NA	NA	3131.19	1219.56	NA	NA	NA	NA	NA	ng/ml*hr	NA
FDA1995S67	all	9.0	LOS50PO	kel	exp3174	plasma	HPLC/UV	NA	NA	0.1065	0.0246	NA	NA	NA	NA	NA	1/hr	NA
FDA1995S67	all	9.0	LOS50PO	thalf	exp3174	plasma	HPLC/UV	NA	NA	6.51	1.54	NA	NA	NA	NA	NA	hr	NA
FDA1995S67	all	9.0	LOS50PO	clearance_renal	exp3174	plasma	HPLC/UV	NA	NA	21.38	8.17	NA	NA	NA	NA	NA	ml/min	NA
FDA1995S67	all	9.0	LOS50PO	recovery	exp3174	urine	HPLC/UV	48.0	hr	7.84	1.93	NA	NA	NA	NA	NA	percent	NA
