study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	min	max	median	se	cv	unit	comments
Yasar2002a	cyp2c9_2_3_swedish	4.0	LOS50	cmax	losartan	plasma	HPLC/FS	NA	NA	635.0	388.0	213.0	1062.0	NA	NA	NA	nmol/l	NA
Yasar2002a	cyp2c9_2_3_swedish	4.0	LOS50	thalf	losartan	plasma	HPLC/FS	NA	NA	3.0	0.6	2.2	3.5	NA	NA	NA	hr	NA
Yasar2002a	cyp2c9_2_3_swedish	4.0	LOS50	auc_inf	losartan	plasma	HPLC/FS	NA	NA	2006.0	632.0	1269.0	2639.0	NA	NA	NA	nmol/l*hr	incorrect units in table
Yasar2002a	cyp2c9_3_3_swedish	1.0	LOS50	cmax	losartan	plasma	HPLC/FS	NA	NA	706.0	NA	NA	NA	NA	NA	NA	nmol/l	NA
Yasar2002a	cyp2c9_3_3_swedish	1.0	LOS50	thalf	losartan	plasma	HPLC/FS	NA	NA	3.6	NA	NA	NA	NA	NA	NA	hr	NA
Yasar2002a	cyp2c9_3_3_swedish	1.0	LOS50	auc_inf	losartan	plasma	HPLC/FS	NA	NA	2769.0	NA	NA	NA	NA	NA	NA	nmol/l*hr	incorrect units in table
Yasar2002a	cyp2c9_1_1_swedish	6.0	LOS50	cmax	exp3174	plasma	HPLC/FS	NA	NA	603.0	443.0	282.0	1451.0	NA	NA	NA	nmol/l	NA
Yasar2002a	cyp2c9_1_1_swedish	6.0	LOS50	thalf	exp3174	plasma	HPLC/FS	NA	NA	4.0	1.1	2.7	5.9	NA	NA	NA	hr	NA
Yasar2002a	cyp2c9_1_1_swedish	6.0	LOS50	auc_inf	exp3174	plasma	HPLC/FS	NA	NA	4346.0	2584.0	2162.0	9183.0	NA	NA	NA	nmol/l*hr	incorrect units in table
Yasar2002a	cyp2c9_1_2_swedish	3.0	LOS50	cmax	exp3174	plasma	HPLC/FS	NA	NA	763.0	565.0	384.0	1412.0	NA	NA	NA	nmol/l	NA
Yasar2002a	cyp2c9_1_2_swedish	3.0	LOS50	thalf	exp3174	plasma	HPLC/FS	NA	NA	4.3	0.2	4.1	4.3	NA	NA	NA	hr	NA
Yasar2002a	cyp2c9_1_2_swedish	3.0	LOS50	auc_inf	exp3174	plasma	HPLC/FS	NA	NA	5564.0	3505.0	3355.0	9605.0	NA	NA	NA	nmol/l*hr	incorrect units in table
Yasar2002a	cyp2c9_1_3_swedish	5.0	LOS50	cmax	exp3174	plasma	HPLC/FS	NA	NA	241.0	102.0	108.0	369.0	NA	NA	NA	nmol/l	NA
Yasar2002a	cyp2c9_1_3_swedish	5.0	LOS50	thalf	exp3174	plasma	HPLC/FS	NA	NA	5.6	1.0	4.5	7.0	NA	NA	NA	hr	NA
Yasar2002a	cyp2c9_1_3_swedish	5.0	LOS50	auc_inf	exp3174	plasma	HPLC/FS	NA	NA	2753.0	898.0	1446.0	3740.0	NA	NA	NA	nmol/l*hr	incorrect units in table
Yasar2002a	cyp2c9_2_2_swedish	3.0	LOS50	cmax	exp3174	plasma	HPLC/FS	NA	NA	486.0	210.0	256.0	669.0	NA	NA	NA	nmol/l	NA
Yasar2002a	cyp2c9_2_2_swedish	3.0	LOS50	thalf	exp3174	plasma	HPLC/FS	NA	NA	3.8	1.2	2.9	5.2	NA	NA	NA	hr	NA
Yasar2002a	cyp2c9_2_2_swedish	3.0	LOS50	auc_inf	exp3174	plasma	HPLC/FS	NA	NA	4104.0	2097.0	1931.0	6116.0	NA	NA	NA	nmol/l*hr	incorrect units in table
Yasar2002a	cyp2c9_2_3_swedish	4.0	LOS50	cmax	exp3174	plasma	HPLC/FS	NA	NA	179.0	39.0	144.0	217.0	NA	NA	NA	nmol/l	NA
Yasar2002a	cyp2c9_2_3_swedish	4.0	LOS50	thalf	exp3174	plasma	HPLC/FS	NA	NA	6.1	1.6	4.4	7.6	NA	NA	NA	hr	NA
Yasar2002a	cyp2c9_2_3_swedish	4.0	LOS50	auc_inf	exp3174	plasma	HPLC/FS	NA	NA	2134.0	491.0	1749.0	2849.0	NA	NA	NA	nmol/l*hr	incorrect units in table
Yasar2002a	cyp2c9_3_3_swedish	1.0	LOS50	cmax	exp3174	plasma	HPLC/FS	NA	NA	25.0	NA	NA	NA	NA	NA	NA	nmol/l	NA
Yasar2002a	cyp2c9_3_3_swedish	1.0	LOS50	thalf	exp3174	plasma	HPLC/FS	NA	NA	6.8	NA	NA	NA	NA	NA	NA	hr	NA
Yasar2002a	cyp2c9_3_3_swedish	1.0	LOS50	auc_inf	exp3174	plasma	HPLC/FS	NA	NA	312.0	NA	NA	NA	NA	NA	NA	nmol/l*hr	incorrect units in table
Yasar2002a	cyp2c9_1_1_swedish	1.0	LOS50	auc_ratio	exp3174/losartan	plasma	HPLC/FS	NA	NA	3.3333333333333335	0.1	5.0	2.0	NA	NA	NA	nmol/l*hr	reciprocal sd as well?
Yasar2002a	cyp2c9_1_2_swedish	1.0	LOS50	auc_ratio	exp3174/losartan	plasma	HPLC/FS	NA	NA	3.3333333333333335	0.1	5.0	2.5	NA	NA	NA	nmol/l*hr	reciprocal sd as well?
Yasar2002a	cyp2c9_1_3_swedish	1.0	LOS50	auc_ratio	exp3174/losartan	plasma	HPLC/FS	NA	NA	2.0	0.2	3.3333333333333335	1.25	NA	NA	NA	nmol/l*hr	reciprocal sd as well?
Yasar2002a	cyp2c9_2_2_swedish	1.0	LOS50	auc_ratio	exp3174/losartan	plasma	HPLC/FS	NA	NA	1.6666666666666667	0.5	3.0303030303030303	0.8333333333333334	NA	NA	NA	nmol/l*hr	reciprocal sd as well?
Yasar2002a	cyp2c9_2_3_swedish	1.0	LOS50	auc_ratio	exp3174/losartan	plasma	HPLC/FS	NA	NA	1.1111111111111112	0.4	2.0	0.7692307692307692	NA	NA	NA	nmol/l*hr	reciprocal sd as well?
Yasar2002a	cyp2c9_3_3_swedish	1.0	LOS50	auc_ratio	exp3174/losartan	plasma	HPLC/FS	NA	NA	0.11235955056179775	NA	NA	NA	NA	NA	NA	nmol/l*hr	reciprocal sd as well?
