study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
Azizi1999	all	16.0	LOS50	auc_end	angiotensin I	plasma	RIA	24.0	hr	631.0	225.0	NA	NA	NA	NA	NA	pg/ml*hr	NA
Azizi1999	all	16.0	placebo	auc_end	angiotensin I	plasma	RIA	24.0	hr	181.0	73.0	NA	NA	NA	NA	NA	pg/ml*hr	NA
Azizi1999	all	16.0	CAN16	concentration	angiotensin II	plasma	RIA	0.0	hr	7.0	4.0	NA	NA	NA	NA	NA	pg/ml	NA
Azizi1999	all	16.0	CAN8	concentration	angiotensin II	plasma	RIA	0.0	hr	8.0	3.0	NA	NA	NA	NA	NA	pg/ml	NA
Azizi1999	all	16.0	LOS50	concentration	angiotensin II	plasma	RIA	0.0	hr	10.0	5.0	NA	NA	NA	NA	NA	pg/ml	NA
Azizi1999	all	16.0	placebo	concentration	angiotensin II	plasma	RIA	0.0	hr	6.0	2.0	NA	NA	NA	NA	NA	pg/ml	NA
Azizi1999	all	16.0	CAN16	cmax	angiotensin II	plasma	RIA	NA	NA	48.0	26.0	NA	NA	NA	NA	NA	pg/ml	NA
Azizi1999	all	16.0	CAN8	cmax	angiotensin II	plasma	RIA	NA	NA	31.0	13.0	NA	NA	NA	NA	NA	pg/ml	NA
Azizi1999	all	16.0	LOS50	cmax	angiotensin II	plasma	RIA	NA	NA	41.0	18.0	NA	NA	NA	NA	NA	pg/ml	NA
Azizi1999	all	16.0	placebo	cmax	angiotensin II	plasma	RIA	NA	NA	9.0	2.0	NA	NA	NA	NA	NA	pg/ml	NA
Azizi1999	all	16.0	CAN16	concentration	angiotensin II	plasma	RIA	24.0	hr	24.0	15.0	NA	NA	NA	NA	NA	pg/ml	NA
Azizi1999	all	16.0	CAN8	concentration	angiotensin II	plasma	RIA	24.0	hr	18.0	11.0	NA	NA	NA	NA	NA	pg/ml	NA
Azizi1999	all	16.0	LOS50	concentration	angiotensin II	plasma	RIA	24.0	hr	15.0	11.0	NA	NA	NA	NA	NA	pg/ml	NA
Azizi1999	all	16.0	placebo	concentration	angiotensin II	plasma	RIA	24.0	hr	7.0	3.0	NA	NA	NA	NA	NA	pg/ml	NA
Azizi1999	all	16.0	CAN16	auc_end	angiotensin II	plasma	RIA	24.0	hr	616.0	304.0	NA	NA	NA	NA	NA	pg/ml*hr	NA
Azizi1999	all	16.0	CAN8	auc_end	angiotensin II	plasma	RIA	24.0	hr	406.0	168.0	NA	NA	NA	NA	NA	pg/ml*hr	NA
Azizi1999	all	16.0	LOS50	auc_end	angiotensin II	plasma	RIA	24.0	hr	456.0	176.0	NA	NA	NA	NA	NA	pg/ml*hr	NA
Azizi1999	all	16.0	placebo	auc_end	angiotensin II	plasma	RIA	24.0	hr	133.0	47.0	NA	NA	NA	NA	NA	pg/ml*hr	NA
Azizi1999	all	16.0	CAN16	MAP	NA	NA	sphygmomanometer	0.0	hr	87.0	6.0	NA	NA	NA	NA	NA	mmHg	mean (arterial?) blood pressure
Azizi1999	all	16.0	CAN8	MAP	NA	NA	sphygmomanometer	0.0	hr	87.0	5.0	NA	NA	NA	NA	NA	mmHg	mean (arterial?) blood pressure
Azizi1999	all	16.0	LOS50	MAP	NA	NA	sphygmomanometer	0.0	hr	87.0	6.0	NA	NA	NA	NA	NA	mmHg	mean (arterial?) blood pressure
Azizi1999	all	16.0	placebo	MAP	NA	NA	sphygmomanometer	0.0	hr	87.0	6.0	NA	NA	NA	NA	NA	mmHg	mean (arterial?) blood pressure
