study	group	count	intervention	measurement_type	label	substance	tissue	method	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	102.0	hr	74.0	6.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	120.0	hr	70.0	5.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	126.0	hr	72.0	6.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	144.0	hr	61.0	5.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	150.0	hr	65.0	4.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	168.0	hr	64.0	6.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	174.0	hr	70.0	6.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	192.0	hr	66.0	8.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	0.0	hr	115.0	4.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	0.0	hr	70.0	3.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	6.0	hr	109.0	7.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	6.0	hr	59.0	3.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	24.0	hr	110.0	4.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	24.0	hr	59.0	1.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	30.0	hr	111.0	12.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	30.0	hr	60.0	9.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	48.0	hr	115.0	5.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	48.0	hr	62.0	5.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	54.0	hr	112.0	3.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	54.0	hr	60.0	1.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	72.0	hr	117.0	1.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	72.0	hr	64.0	1.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	78.0	hr	119.0	7.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	78.0	hr	63.0	3.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	96.0	hr	112.0	16.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	96.0	hr	61.0	9.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	102.0	hr	111.0	7.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	102.0	hr	61.0	5.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	120.0	hr	116.0	6.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	120.0	hr	61.0	5.0	NA	NA	NA	NA	NA	mmHg	91 in table, likely typo, fixed to 61
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	126.0	hr	113.0	10.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	126.0	hr	60.0	4.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	144.0	hr	108.0	11.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	144.0	hr	64.0	5.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	150.0	hr	114.0	14.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	150.0	hr	61.0	10.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	168.0	hr	107.0	8.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	168.0	hr	61.0	4.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	174.0	hr	107.0	8.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	174.0	hr	57.0	5.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi	NA	NA	sphygmomanometer	192.0	hr	109.0	2.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi	NA	NA	sphygmomanometer	192.0	hr	63.0	3.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	0.0	hr	54.0	8.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	6.0	hr	58.0	5.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	24.0	hr	64.0	5.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	30.0	hr	61.0	6.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	48.0	hr	63.0	3.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	54.0	hr	63.0	3.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	72.0	hr	67.0	4.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	78.0	hr	67.0	1.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	96.0	hr	67.0	8.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	102.0	hr	65.0	1.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	120.0	hr	64.0	4.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	126.0	hr	59.0	2.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	144.0	hr	56.0	5.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	150.0	hr	59.0	6.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	168.0	hr	57.0	4.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	174.0	hr	65.0	4.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi	NA	NA	NR	192.0	hr	59.0	7.0	NA	NA	NA	NA	NA	1/s	NA
