study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
Ohtawa1993	single_dose_100	6.0	LOS100	auc_inf	losartan	plasma	HPLC	NA	NA	1069.1	392.6	NA	NA	NA	NA	NA	ng/ml*hr	NA
Ohtawa1993	single_dose_100	6.0	LOS100	thalf	losartan	plasma	HPLC	NA	NA	1.51	0.41	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_100	6.0	LOS100	recovery	losartan	urine	HPLC	24.0	hr	4.1	1.1	NA	NA	NA	NA	NA	percent	NA
Ohtawa1993	single_dose_100	6.0	LOS100	clearance_renal	losartan	plasma	HPLC	24.0	hr	4.1	0.7	NA	NA	NA	NA	NA	l/hr	NA
Ohtawa1993	single_dose_100	6.0	LOS100	cmax	exp3174	plasma	HPLC	NA	NA	1210.8	271.4	NA	NA	NA	NA	NA	ng/ml	NA
Ohtawa1993	single_dose_100	6.0	LOS100	tmax	exp3174	plasma	HPLC	NA	NA	2.0	0.6	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_100	6.0	LOS100	auc_inf	exp3174	plasma	HPLC	NA	NA	5958.2	1192.2	NA	NA	NA	NA	NA	ng/ml*hr	NA
Ohtawa1993	single_dose_100	6.0	LOS100	thalf	exp3174	plasma	HPLC	NA	NA	4.17	0.48	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_100	6.0	LOS100	recovery	exp3174	urine	HPLC	24.0	hr	7.0	1.4	NA	NA	NA	NA	NA	percent	NA
Ohtawa1993	single_dose_100	6.0	LOS100	clearance_renal	exp3174	plasma	HPLC	24.0	hr	1.2	0.3	NA	NA	NA	NA	NA	l/hr	NA
Ohtawa1993	single_dose_200	6.0	LOS200	cmax	losartan	plasma	HPLC	NA	NA	1394.9	513.1	NA	NA	NA	NA	NA	ng/ml	NA
Ohtawa1993	single_dose_200	6.0	LOS200	tmax	losartan	plasma	HPLC	NA	NA	1.3	0.5	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_200	6.0	LOS200	auc_inf	losartan	plasma	HPLC	NA	NA	2231.2	1065.2	NA	NA	NA	NA	NA	ng/ml*hr	NA
Ohtawa1993	single_dose_200	6.0	LOS200	thalf	losartan	plasma	HPLC	NA	NA	1.79	0.19	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_200	6.0	LOS200	recovery	losartan	urine	HPLC	24.0	hr	3.7	1.6	NA	NA	NA	NA	NA	percent	NA
Ohtawa1993	single_dose_200	6.0	LOS200	clearance_renal	losartan	plasma	HPLC	24.0	hr	3.7	1.8	NA	NA	NA	NA	NA	l/hr	NA
Ohtawa1993	single_dose_200	6.0	LOS200	cmax	exp3174	plasma	HPLC	NA	NA	2219.0	484.9	NA	NA	NA	NA	NA	ng/ml	NA
Ohtawa1993	single_dose_200	6.0	LOS200	tmax	exp3174	plasma	HPLC	NA	NA	2.5	0.5	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_200	6.0	LOS200	auc_inf	exp3174	plasma	HPLC	NA	NA	10861.4	3316.5	NA	NA	NA	NA	NA	ng/ml*hr	NA
Ohtawa1993	single_dose_200	6.0	LOS200	thalf	exp3174	plasma	HPLC	NA	NA	4.37	0.36	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_200	6.0	LOS200	recovery	exp3174	urine	HPLC	24.0	hr	6.0	1.5	NA	NA	NA	NA	NA	percent	NA
Ohtawa1993	single_dose_200	6.0	LOS200	clearance_renal	exp3174	plasma	HPLC	24.0	hr	1.2	0.4	NA	NA	NA	NA	NA	l/hr	NA
