study	count	group	intervention	label	measurement	substance	tissue	geomean	min	max	unit	time	time_unit	method	comments
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_5-hydroxyomeprazole	cmax	5-hydroxyomeprazole	plasma	6.13	3.33	11.3	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_5‐O‐desmethylomeprazole	auc_end	5‐O‐desmethylomeprazole	plasma	108.0	60.7	191.0	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_5‐O‐desmethylomeprazole	cmax	5‐O‐desmethylomeprazole	plasma	26.7	16.1	54.5	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_5‐O‐desmethylomeprazole	auc_end	5‐O‐desmethylomeprazole	plasma	158.0	116.0	216.0	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_5‐O‐desmethylomeprazole	cmax	5‐O‐desmethylomeprazole	plasma	54.9	36.9	81.6	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	8	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_dextrorphan	auc_end	dextrorphan	plasma	12.3	3.05	49.5	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	8	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_dextrorphan	cmax	dextrorphan	plasma	3.45	0.78	15.1	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	8	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_dextrorphan	auc_end	dextrorphan	plasma	20.6	8.08	52.7	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	8	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_dextrorphan	cmax	dextrorphan	plasma	5.88	2.06	16.8	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_1-hydroxymidazolam	auc_end	1-hydroxymidazolam	plasma	6.33	4.51	8.89	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_1-hydroxymidazolam	cmax	1-hydroxymidazolam	plasma	2.49	1.47	4.23	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_1-hydroxymidazolam	auc_end	1-hydroxymidazolam	plasma	6.76	5.13	8.91	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_1-hydroxymidazolam	cmax	1-hydroxymidazolam	plasma	2.91	2.16	3.81	ng/ml	NA	NA	HPLC MS/MS	NA
